artist,album,track,uri
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,5ivF4eQBqJiVL5IAE9jRyl
Lady Gaga,A Star Is Born Soundtrack,Diggin' My Grave,3iYYUkgkIgZy20xUVaOyLU
La Beriso,En Vivo en el Estadio Único,Canción para Mamá y Papá - En Vivo en el Estadio Único,21jM090AkhDD1XjpmszIvT
Bryan Adams,Reckless,The Best Was Yet To Come - Live At Hammersmith Odeon/1985,6aZQji8CqveoBeTG6rLdXL
Romina Marroquín Payró,Frozen: Una Aventura Congelada,Finalmente y Como Nunca (Reprise),0PpRiBLbyHvfka0SAiim3W
Arnau Griso,Revolución Bananera,Autoextinción,3Ys8QjeVrs39ImI6qE5nMr
Train,California 37,Sing Together,2WAqjXV5uUz4q8pbHI5ysm
Arnau Griso,Es gratis,Es gratis - Acústico,0GKlIuZcQCiv8bvWgRNiAb
Imagine Dragons,Night Visions,Underdog,0uRxBrnv51zUxq55y6yDzx
Red Hot Chili Peppers,Californication,Over Funk - 2006 Remaster,0809RpHic1xrZzh9CT4wXo
Jason Mraz,We Sing. We Dance. We Steal Things.,Coyotes,1BWznhHZPGriEWStDgmjai
Queen,Bohemian Rhapsody,Radio Ga Ga - Live Aid,0YwBZKT8JE4U5TwmYE9BV9
Coro Pascua Joven San Isidro,Se entregó por mí,Hasta dar la vida,1Pcb7tXYwd1qfF0DNZr9g6
Jason Mraz,We Sing. We Dance. We Steal Things.,If It Kills Me - From the Casa Nova Sessions,4oMM5SNyReTkWxkFS6CJBN
Fran Busso,Agua y Harina,Era un Amanecer,5yeVWk0A5R2iVIvkytTYhG
Mancha De Rolando,40 Principales Pop & Rock Nacionales,Arde la Ciudad,6TSjdBZlpSj2VSFwD7DEDB
Imagine Dragons,Night Visions,Radioactive,6Ep6BzIOB9tz3P4sWqiiAB
Queen,Bohemian Rhapsody,Now I'm Here - Live At The Hammersmith Odeon,4ysz5yttr3rpRkvyVMLlRB
Attaque 77,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Chance,0hZiB1nudi9m6CxbqvbRWA
Bryan Adams,Reckless,Play To Win,1GFEno6m03GKO33JaaGznW
Ed Sheeran,÷,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT
Louis Tomlinson,Walls,Always You,5KcT9rJDqQJUSFF3O9wPJ5
Coro Pascua Joven San Isidro,Alimento que da vida,Jesús mi alegría,21eVFXVzmdYwULapIzZyYn
Imagine Dragons,Night Visions,Hear Me,6wWphSJNz9GiKWb6EcealX
Ed Sheeran,÷,Perfect,0tgVpDi06FyKpA1z0VMD4v
Bryan Adams,Reckless,She's Only Happy When She's Dancin',6ROdQ7vaTE6F9AOh6qfHUO
Calle 13,Residente o Visitante,La Era de la Copiaera,1ghd9wS2v1kMlkMuxaA9LS
Ivan Noble,Cinco Décadas de Rock Argentino: Quinta Década 2006 - 2016,Donde Gustes y Cuando Quieras (feat. Vicentico),3Bbz8SNXBpPd2Zr9rIwoPQ
Jason Mraz,YES! (Commentary),"Hello, You Beautiful Thing - Commentary",2dXJEVKs2AXvboc1eLwlww
Lifehouse,Lifehouse,You And Me,4T2SmVJPtDdugk5j5xV1d5
